,MSD,taus,experiment
1,0.00778787983865592,0.21,SIM_1
2,0.0102689841664326,0.42,SIM_1
3,0.0125042141450551,0.63,SIM_1
4,0.0146687119484235,0.84,SIM_1
5,0.0163591401524435,1.05,SIM_1
6,0.0172990759809549,1.26,SIM_1
7,0.018053123873892,1.47,SIM_1
8,0.0196320300653625,1.68,SIM_1
9,0.0223239511515142,1.89,SIM_1
10,0.0240129522864908,2.1,SIM_1
11,0.0259644203063195,2.31,SIM_1
12,0.0278950497774424,2.52,SIM_1
13,0.0301070357371657,2.73,SIM_1
14,0.0315655669386086,2.94,SIM_1
15,0.0336959304815689,3.15,SIM_1
16,0.0360337886559617,3.36,SIM_1
17,0.0392916771260543,3.57,SIM_1
18,0.0401309244625806,3.78,SIM_1
19,0.0432408664561288,3.99,SIM_1
20,0.045124386988481,4.2,SIM_1
21,0.0471733893588088,4.41,SIM_1
22,0.0488343221394828,4.62,SIM_1
23,0.0499665802963508,4.83,SIM_1
24,0.0503769150232078,5.04,SIM_1
25,0.0516085633690296,5.25,SIM_1
26,0.0513290298393966,5.46,SIM_1
27,0.0528946933036872,5.67,SIM_1
28,0.0550209929291425,5.88,SIM_1
29,0.058352296431952,6.09,SIM_1
30,0.0583728043383939,6.3,SIM_1
31,0.0595981212824711,6.51,SIM_1
32,0.0601199220396947,6.72,SIM_1
33,0.0613961212660049,6.93,SIM_1
34,0.0624371367940325,7.14,SIM_1
35,0.0648237839838349,7.35,SIM_1
36,0.0665944170156665,7.56,SIM_1
37,0.0678482172673499,7.77,SIM_1
38,0.0681630425676932,7.98,SIM_1
39,0.0688856746711925,8.19,SIM_1
40,0.0695197991701283,8.4,SIM_1
41,0.0712921157488633,8.61,SIM_1
42,0.0726903854935313,8.82,SIM_1
43,0.0751656475189674,9.03,SIM_1
44,0.0760216620929208,9.24,SIM_1
45,0.0772196616265013,9.45,SIM_1
46,0.0767049536032484,9.66,SIM_1
47,0.0769316731084833,9.87,SIM_1
48,0.0769616261289003,10.08,SIM_1
49,0.078385278242043,10.29,SIM_1
50,0.0789466850217778,10.5,SIM_1
51,0.0806604764988488,10.71,SIM_1
52,0.0817430390477685,10.92,SIM_1
53,0.082669770103726,11.13,SIM_1
54,0.0839812967015781,11.34,SIM_1
55,0.0849937097377236,11.55,SIM_1
56,0.0863114076229013,11.76,SIM_1
57,0.0883709695155091,11.97,SIM_1
58,0.0893399673301238,12.18,SIM_1
59,0.0907820055110432,12.39,SIM_1
60,0.0904940379837994,12.6,SIM_1
61,0.0918253548036871,12.81,SIM_1
62,0.0921566892385633,13.02,SIM_1
63,0.0939785514720857,13.23,SIM_1
64,0.0948826469182499,13.44,SIM_1
65,0.0954588140439479,13.65,SIM_1
66,0.0977439927505671,13.86,SIM_1
67,0.0991196855403836,14.07,SIM_1
68,0.102284178510228,14.28,SIM_1
69,0.105647286074853,14.49,SIM_1
70,0.107709712260433,14.7,SIM_1
71,0.109470856016254,14.91,SIM_1
72,0.110114427549548,15.12,SIM_1
73,0.110048316242864,15.33,SIM_1
74,0.11049797675641,15.54,SIM_1
75,0.11202816456301,15.75,SIM_1
76,0.112830295921436,15.96,SIM_1
77,0.11533129462663,16.17,SIM_1
78,0.115411687615288,16.38,SIM_1
79,0.11629037227161,16.59,SIM_1
80,0.117549538494687,16.8,SIM_1
81,0.118277784115738,17.01,SIM_1
82,0.117392054066935,17.22,SIM_1
83,0.118534377307551,17.43,SIM_1
84,0.120939979622267,17.64,SIM_1
85,0.120638921993948,17.85,SIM_1
86,0.121145217222921,18.06,SIM_1
87,0.121092125162881,18.27,SIM_1
88,0.121666352081983,18.48,SIM_1
89,0.122034346858681,18.69,SIM_1
90,0.121030536884613,18.9,SIM_1
91,0.121298865359681,19.11,SIM_1
92,0.121042061455147,19.32,SIM_1
93,0.118953376112466,19.53,SIM_1
94,0.119034421398811,19.74,SIM_1
95,0.119316221777879,19.95,SIM_1
96,0.119459036002547,20.16,SIM_1
97,0.117332892997163,20.37,SIM_1
98,0.115448712220982,20.58,SIM_1
99,0.113193211439184,20.79,SIM_1
100,0.110606939214341,21,SIM_1
101,0.00721260833697183,0.21,SIM_10
102,0.00995920982213534,0.42,SIM_10
103,0.0117471497438619,0.63,SIM_10
104,0.0134066505688353,0.84,SIM_10
105,0.0152653464764049,1.05,SIM_10
106,0.0161793211960211,1.26,SIM_10
107,0.0162895833255296,1.47,SIM_10
108,0.016626351180297,1.68,SIM_10
109,0.0178714913219339,1.89,SIM_10
110,0.0174361280969691,2.1,SIM_10
111,0.0173287460363418,2.31,SIM_10
112,0.0190869019899722,2.52,SIM_10
113,0.0193991142485694,2.73,SIM_10
114,0.0198558815203374,2.94,SIM_10
115,0.0209996089992101,3.15,SIM_10
116,0.0223001538000795,3.36,SIM_10
117,0.0225705971294878,3.57,SIM_10
118,0.0216536504677984,3.78,SIM_10
119,0.0217407725869439,3.99,SIM_10
120,0.0224045747851251,4.2,SIM_10
121,0.0222714972564851,4.41,SIM_10
122,0.0231354501583701,4.62,SIM_10
123,0.0237008961647765,4.83,SIM_10
124,0.023479317370883,5.04,SIM_10
125,0.0245622093820348,5.25,SIM_10
126,0.0250459713488014,5.46,SIM_10
127,0.0252116386626931,5.67,SIM_10
128,0.0250948058627545,5.88,SIM_10
129,0.0254736780507034,6.09,SIM_10
130,0.0251889405190255,6.3,SIM_10
131,0.0258120551033103,6.51,SIM_10
132,0.0260972110441873,6.72,SIM_10
133,0.0269115081590031,6.93,SIM_10
134,0.0272568895859595,7.14,SIM_10
135,0.0279011054505303,7.35,SIM_10
136,0.0278396322898208,7.56,SIM_10
137,0.027644181882073,7.77,SIM_10
138,0.0269799330132176,7.98,SIM_10
139,0.0275507962165075,8.19,SIM_10
140,0.0276549255685853,8.4,SIM_10
141,0.0279821639848943,8.61,SIM_10
142,0.0282773961158479,8.82,SIM_10
143,0.0293426689606449,9.03,SIM_10
144,0.0303200356911153,9.24,SIM_10
145,0.032472912588938,9.45,SIM_10
146,0.0339333310417501,9.66,SIM_10
147,0.035401481328352,9.87,SIM_10
148,0.0349746223424352,10.08,SIM_10
149,0.0348324501445369,10.29,SIM_10
150,0.0356099261941137,10.5,SIM_10
151,0.0357045708939618,10.71,SIM_10
152,0.0349701465011429,10.92,SIM_10
153,0.0357661680859201,11.13,SIM_10
154,0.0371704876886538,11.34,SIM_10
155,0.0380004222242136,11.55,SIM_10
156,0.0383598745307811,11.76,SIM_10
157,0.0395407120908302,11.97,SIM_10
158,0.0413787408286158,12.18,SIM_10
159,0.0413162176821053,12.39,SIM_10
160,0.0415271081861618,12.6,SIM_10
161,0.0426964930997878,12.81,SIM_10
162,0.0418134539573686,13.02,SIM_10
163,0.0409841474281199,13.23,SIM_10
164,0.0421094026208577,13.44,SIM_10
165,0.0432767487590064,13.65,SIM_10
166,0.042561111309506,13.86,SIM_10
167,0.0433953771096381,14.07,SIM_10
168,0.0456487276803582,14.28,SIM_10
169,0.0473251582644952,14.49,SIM_10
170,0.0473164100179962,14.7,SIM_10
171,0.0469180586157052,14.91,SIM_10
172,0.048254486696215,15.12,SIM_10
173,0.0500913464665725,15.33,SIM_10
174,0.0510843134177003,15.54,SIM_10
175,0.052174437295952,15.75,SIM_10
176,0.0534803309950174,15.96,SIM_10
177,0.054703702496638,16.17,SIM_10
178,0.0563223103137325,16.38,SIM_10
179,0.0593488227616448,16.59,SIM_10
180,0.0608731058187697,16.8,SIM_10
181,0.0607327207533563,17.01,SIM_10
182,0.0622724087248198,17.22,SIM_10
183,0.0633732796310894,17.43,SIM_10
184,0.0634722227137711,17.64,SIM_10
185,0.0647869223000317,17.85,SIM_10
186,0.0657510489758776,18.06,SIM_10
187,0.0680297562916005,18.27,SIM_10
188,0.0700416275332543,18.48,SIM_10
189,0.0712759177631168,18.69,SIM_10
190,0.0711636016582287,18.9,SIM_10
191,0.0708291400601013,19.11,SIM_10
192,0.0694406786201192,19.32,SIM_10
193,0.0693645062584602,19.53,SIM_10
194,0.0679942897312281,19.74,SIM_10
